WATER_CONNECTIONS	water_node_from	water_node_to	wc_capacity
pangue	embalse_pangue	nodo_angostura	9999
ralco	embalse_ralco	embalse_pangue	9999
palmucho	embalse_ralco	embalse_pangue	9999
pehuenche	embalse_melado	embalse_colbun	9999
canutillar	lago_chapo	chapo_sink	9999
rapel	lago_rapel	rapel_sink	9999
antuco	poza_polcura	nodo_rucue	9999
isla_curillinque_loma_alta	bocatoma_maule_isla	bocatoma_maule_melado	9999
angostura	nodo_angostura	biobio_sink	9999
fil_laja	lago_laja	bocatoma_abanico	9999
los_condores	laguna_del_maule	bocatoma_maule_isla	9999
el_toro	lago_laja	poza_polcura	9999
abanico	bocatoma_abanico	poza_polcura	9999
cipreses	laguna_invernada	bocatoma_maule_isla	9999
rucue_quilleco	nodo_rucue	laja_sink	9999
entrada_embalse_melado	bocatoma_maule_melado	embalse_melado	9999
machicura_san_ignacio	embalse_machicura	maule_sink	9999
colbun	embalse_colbun	embalse_machicura	9999
san_pedro	embalse_san_pedro	san_pedro_sink	9999
