timepoint_id	timestamp	timeseries
720	1821_3101_00	C5_2018
721	1821_3101_01	C5_2018
722	1821_3101_02	C5_2018
723	1821_3101_03	C5_2018
724	1821_3101_04	C5_2018
725	1821_3101_05	C5_2018
726	1821_3101_06	C5_2018
727	1821_3101_07	C5_2018
728	1821_3101_08	C5_2018
729	1821_3101_09	C5_2018
730	1821_3101_10	C5_2018
731	1821_3101_11	C5_2018
732	1821_3101_12	C5_2018
733	1821_3101_13	C5_2018
734	1821_3101_14	C5_2018
735	1821_3101_15	C5_2018
736	1821_3101_16	C5_2018
737	1821_3101_17	C5_2018
738	1821_3101_18	C5_2018
739	1821_3101_19	C5_2018
740	1821_3101_20	C5_2018
741	1821_3101_21	C5_2018
742	1821_3101_22	C5_2018
743	1821_3101_23	C5_2018
2424	1821_1204_00	C6_2018
2425	1821_1204_01	C6_2018
2426	1821_1204_02	C6_2018
2427	1821_1204_03	C6_2018
2428	1821_1204_04	C6_2018
2429	1821_1204_05	C6_2018
2430	1821_1204_06	C6_2018
2431	1821_1204_07	C6_2018
2432	1821_1204_08	C6_2018
2433	1821_1204_09	C6_2018
2434	1821_1204_10	C6_2018
2435	1821_1204_11	C6_2018
2436	1821_1204_12	C6_2018
2437	1821_1204_13	C6_2018
2438	1821_1204_14	C6_2018
2439	1821_1204_15	C6_2018
2440	1821_1204_16	C6_2018
2441	1821_1204_17	C6_2018
2442	1821_1204_18	C6_2018
2443	1821_1204_19	C6_2018
2444	1821_1204_20	C6_2018
2445	1821_1204_21	C6_2018
2446	1821_1204_22	C6_2018
2447	1821_1204_23	C6_2018
3360	1821_2105_00	C1_2018
3361	1821_2105_01	C1_2018
3362	1821_2105_02	C1_2018
3363	1821_2105_03	C1_2018
3364	1821_2105_04	C1_2018
3365	1821_2105_05	C1_2018
3366	1821_2105_06	C1_2018
3367	1821_2105_07	C1_2018
3368	1821_2105_08	C1_2018
3369	1821_2105_09	C1_2018
3370	1821_2105_10	C1_2018
3371	1821_2105_11	C1_2018
3372	1821_2105_12	C1_2018
3373	1821_2105_13	C1_2018
3374	1821_2105_14	C1_2018
3375	1821_2105_15	C1_2018
3376	1821_2105_16	C1_2018
3377	1821_2105_17	C1_2018
3378	1821_2105_18	C1_2018
3379	1821_2105_19	C1_2018
3380	1821_2105_20	C1_2018
3381	1821_2105_21	C1_2018
3382	1821_2105_22	C1_2018
3383	1821_2105_23	C1_2018
5064	1821_3107_00	C2_2018
5065	1821_3107_01	C2_2018
5066	1821_3107_02	C2_2018
5067	1821_3107_03	C2_2018
5068	1821_3107_04	C2_2018
5069	1821_3107_05	C2_2018
5070	1821_3107_06	C2_2018
5071	1821_3107_07	C2_2018
5072	1821_3107_08	C2_2018
5073	1821_3107_09	C2_2018
5074	1821_3107_10	C2_2018
5075	1821_3107_11	C2_2018
5076	1821_3107_12	C2_2018
5077	1821_3107_13	C2_2018
5078	1821_3107_14	C2_2018
5079	1821_3107_15	C2_2018
5080	1821_3107_16	C2_2018
5081	1821_3107_17	C2_2018
5082	1821_3107_18	C2_2018
5083	1821_3107_19	C2_2018
5084	1821_3107_20	C2_2018
5085	1821_3107_21	C2_2018
5086	1821_3107_22	C2_2018
5087	1821_3107_23	C2_2018
6984	1821_1910_00	C4_2018
6985	1821_1910_01	C4_2018
6986	1821_1910_02	C4_2018
6987	1821_1910_03	C4_2018
6988	1821_1910_04	C4_2018
6989	1821_1910_05	C4_2018
6990	1821_1910_06	C4_2018
6991	1821_1910_07	C4_2018
6992	1821_1910_08	C4_2018
6993	1821_1910_09	C4_2018
6994	1821_1910_10	C4_2018
6995	1821_1910_11	C4_2018
6996	1821_1910_12	C4_2018
6997	1821_1910_13	C4_2018
6998	1821_1910_14	C4_2018
6999	1821_1910_15	C4_2018
7000	1821_1910_16	C4_2018
7001	1821_1910_17	C4_2018
7002	1821_1910_18	C4_2018
7003	1821_1910_19	C4_2018
7004	1821_1910_20	C4_2018
7005	1821_1910_21	C4_2018
7006	1821_1910_22	C4_2018
7007	1821_1910_23	C4_2018
7536	1821_1111_00	C3_2018
7537	1821_1111_01	C3_2018
7538	1821_1111_02	C3_2018
7539	1821_1111_03	C3_2018
7540	1821_1111_04	C3_2018
7541	1821_1111_05	C3_2018
7542	1821_1111_06	C3_2018
7543	1821_1111_07	C3_2018
7544	1821_1111_08	C3_2018
7545	1821_1111_09	C3_2018
7546	1821_1111_10	C3_2018
7547	1821_1111_11	C3_2018
7548	1821_1111_12	C3_2018
7549	1821_1111_13	C3_2018
7550	1821_1111_14	C3_2018
7551	1821_1111_15	C3_2018
7552	1821_1111_16	C3_2018
7553	1821_1111_17	C3_2018
7554	1821_1111_18	C3_2018
7555	1821_1111_19	C3_2018
7556	1821_1111_20	C3_2018
7557	1821_1111_21	C3_2018
7558	1821_1111_22	C3_2018
7559	1821_1111_23	C3_2018
35760	2225_3101_00	C5_2022
35761	2225_3101_01	C5_2022
35762	2225_3101_02	C5_2022
35763	2225_3101_03	C5_2022
35764	2225_3101_04	C5_2022
35765	2225_3101_05	C5_2022
35766	2225_3101_06	C5_2022
35767	2225_3101_07	C5_2022
35768	2225_3101_08	C5_2022
35769	2225_3101_09	C5_2022
35770	2225_3101_10	C5_2022
35771	2225_3101_11	C5_2022
35772	2225_3101_12	C5_2022
35773	2225_3101_13	C5_2022
35774	2225_3101_14	C5_2022
35775	2225_3101_15	C5_2022
35776	2225_3101_16	C5_2022
35777	2225_3101_17	C5_2022
35778	2225_3101_18	C5_2022
35779	2225_3101_19	C5_2022
35780	2225_3101_20	C5_2022
35781	2225_3101_21	C5_2022
35782	2225_3101_22	C5_2022
35783	2225_3101_23	C5_2022
37464	2225_1204_00	C6_2022
37465	2225_1204_01	C6_2022
