LOAD_ZONE	PERIOD	local_dg_overnight_cost_per_mw	local_dg_fixed_om_cost_per_mw
lagunas	2018	1500000.0	17023.05
lagunas	2022	1316608.0	14941.8
lagunas	2026	1163075.0	13199.4
lagunas	2030	1034920.0	11745.0
lagunas	2034	932142.0	10578.6
crucero_encuentro	2018	1500000.0	17023.05
crucero_encuentro	2022	1316608.0	14941.8
crucero_encuentro	2026	1163075.0	13199.4
crucero_encuentro	2030	1034920.0	11745.0
crucero_encuentro	2034	932142.0	10578.6
mejillones	2018	1500000.0	17023.05
mejillones	2022	1316608.0	14941.8
mejillones	2026	1163075.0	13199.4
mejillones	2030	1034920.0	11745.0
mejillones	2034	932142.0	10578.6
laberinto_zaldivar	2018	1500000.0	17023.05
laberinto_zaldivar	2022	1316608.0	14941.8
laberinto_zaldivar	2026	1163075.0	13199.4
laberinto_zaldivar	2030	1034920.0	11745.0
laberinto_zaldivar	2034	932142.0	10578.6
diego_de_almagro	2018	1500000.0	17023.05
diego_de_almagro	2022	1316608.0	14941.8
diego_de_almagro	2026	1163075.0	13199.4
diego_de_almagro	2030	1034920.0	11745.0
diego_de_almagro	2034	932142.0	10578.6
cardones	2018	1500000.0	17023.05
cardones	2022	1316608.0	14941.8
cardones	2026	1163075.0	13199.4
cardones	2030	1034920.0	11745.0
cardones	2034	932142.0	10578.6
maitencillo	2018	1500000.0	17023.05
maitencillo	2022	1316608.0	14941.8
maitencillo	2026	1163075.0	13199.4
maitencillo	2030	1034920.0	11745.0
maitencillo	2034	932142.0	10578.6
pan_de_azucar	2018	1500000.0	17023.05
pan_de_azucar	2022	1316608.0	14941.8
pan_de_azucar	2026	1163075.0	13199.4
pan_de_azucar	2030	1034920.0	11745.0
pan_de_azucar	2034	932142.0	10578.6
los_vilos	2018	1500000.0	17023.05
los_vilos	2022	1316608.0	14941.8
los_vilos	2026	1163075.0	13199.4
los_vilos	2030	1034920.0	11745.0
los_vilos	2034	932142.0	10578.6
nogales	2018	1500000.0	17023.05
nogales	2022	1316608.0	14941.8
nogales	2026	1163075.0	13199.4
nogales	2030	1034920.0	11745.0
nogales	2034	932142.0	10578.6
quillota	2018	1500000.0	17023.05
quillota	2022	1316608.0	14941.8
quillota	2026	1163075.0	13199.4
quillota	2030	1034920.0	11745.0
quillota	2034	932142.0	10578.6
polpaico	2018	1500000.0	17023.05
polpaico	2022	1316608.0	14941.8
polpaico	2026	1163075.0	13199.4
polpaico	2030	1034920.0	11745.0
polpaico	2034	932142.0	10578.6
alto_jahuel	2018	1500000.0	17023.05
alto_jahuel	2022	1316608.0	14941.8
alto_jahuel	2026	1163075.0	13199.4
alto_jahuel	2030	1034920.0	11745.0
alto_jahuel	2034	932142.0	10578.6
melipilla_rapel	2018	1500000.0	17023.05
melipilla_rapel	2022	1316608.0	14941.8
melipilla_rapel	2026	1163075.0	13199.4
melipilla_rapel	2030	1034920.0	11745.0
melipilla_rapel	2034	932142.0	10578.6
itahue	2018	1500000.0	17023.05
itahue	2022	1316608.0	14941.8
itahue	2026	1163075.0	13199.4
itahue	2030	1034920.0	11745.0
itahue	2034	932142.0	10578.6
ancoa	2018	1500000.0	17023.05
ancoa	2022	1316608.0	14941.8
ancoa	2026	1163075.0	13199.4
ancoa	2030	1034920.0	11745.0
ancoa	2034	932142.0	10578.6
hualpen	2018	1500000.0	17023.05
hualpen	2022	1316608.0	14941.8
hualpen	2026	1163075.0	13199.4
hualpen	2030	1034920.0	11745.0
hualpen	2034	932142.0	10578.6
charrua	2018	1500000.0	17023.05
charrua	2022	1316608.0	14941.8
charrua	2026	1163075.0	13199.4
charrua	2030	1034920.0	11745.0
charrua	2034	932142.0	10578.6
temuco	2018	1500000.0	17023.05
temuco	2022	1316608.0	14941.8
temuco	2026	1163075.0	13199.4
temuco	2030	1034920.0	11745.0
temuco	2034	932142.0	10578.6
puerto_montt	2018	1500000.0	17023.05
puerto_montt	2022	1316608.0	14941.8
puerto_montt	2026	1163075.0	13199.4
puerto_montt	2030	1034920.0	11745.0
puerto_montt	2034	932142.0	10578.6
