GENERATION_PROJECT	build_year	gen_overnight_cost	gen_fixed_om
taparaca_cttar	1999	0.0	0.0
DE_lagunas	1991	0.0	0.0
RoR_lagunas	2010	0.0	0.0
PV_arica_solar_1	2018	0.0	0.0
PV_huatacondo	2019	0.0	0.0
PV_la_huayca_2	2018	0.0	0.0
PV_lagunas	2014	0.0	0.0
tocopilla_u16	2001	0.0	0.0
norgener_nto_1	1995	0.0	0.0
norgener_nto_2	2011	0.0	0.0
tocopilla_u12	1999	0.0	0.0
tocopilla_u13	1999	0.0	0.0
tocopilla_u14	1999	0.0	0.0
tocopilla_u15	1999	0.0	0.0
geothermal_cerro_pabellon	2017	0.0	0.0
TG_Diesel_crucero_encuentro	2009	0.0	0.0
PV_cerro_dominador	2018	0.0	0.0
PV_crucero_encuentro	2016	0.0	0.0
Wind_crucero_encuentro	2014	0.0	0.0
atacama_cc1	1999	0.0	0.0
atacama_cc2	2002	0.0	0.0
kelar	2016	0.0	0.0
mejillones_ctm3	2000	0.0	0.0
andina_cta	2011	0.0	0.0
angamos_ang_1	2011	0.0	0.0
angamos_ang_2	2011	0.0	0.0
cochrane_cch1	2016	0.0	0.0
cochrane_cch2	2016	0.0	0.0
hornitos_cth	2011	0.0	0.0
iem1_mejillones	2019	0.0	0.0
mejillones_ctm_1	1995	0.0	0.0
mejillones_ctm_2	1995	0.0	0.0
DE_laberinto_zaldivar	2002	0.0	0.0
PV_laberinto_zaldivar	2016	0.0	0.0
Wind_laberinto_zaldivar	2018	0.0	0.0
central_taltal	2000	0.0	0.0
TG_Diesel_diego_de_almagro	2008	0.0	0.0
PV_diego_de_almagro	2016	0.0	0.0
Wind_diego_de_almagro	2015	0.0	0.0
DE_cardones	2009	0.0	0.0
TG_Diesel_cardones	2009	0.0	0.0
PV_cardones	2016	0.0	0.0
guacolda_1	1995	0.0	0.0
guacolda_2	1996	0.0	0.0
guacolda_3	2009	0.0	0.0
guacolda_4	2010	0.0	0.0
guacolda_5	2015	0.0	0.0
RoR_maitencillo	2013	0.0	0.0
TG_Diesel_maitencillo	1978	0.0	0.0
PV_maitencillo	2017	0.0	0.0
Wind_maitencillo	2017	0.0	0.0
Wind_sarco	2019	0.0	0.0
DE_pan_de_azucar	2008	0.0	0.0
RoR_pan_de_azucar	2009	0.0	0.0
PV_pan_de_Azucar	2015	0.0	0.0
Wind_pan_de_azucar	2016	0.0	0.0
DE_los_vilos	2008	0.0	0.0
PV_los_vilos	2016	0.0	0.0
Wind_los_vilos	2010	0.0	0.0
campiche	2013	0.0	0.0
nueva_ventanas	2010	0.0	0.0
ventanas_1	2005	0.0	0.0
ventanas_2	2008	0.0	0.0
PV_nogales	2018	0.0	0.0
nehuenco_1	1998	0.0	0.0
nehuenco_2	2004	0.0	0.0
san_isidro_1	1998	0.0	0.0
san_isidro_2	2008	0.0	0.0
RoR_quillota	1989	0.0	0.0
TG_Diesel_quillota	2007	0.0	0.0
PV_quillota	2016	0.0	0.0
loma_los_colorados	2011	0.0	0.0
RoR_polpaico	2000	0.0	0.0
PV_polpaico	2017	0.0	0.0
Biomass_alto_jahuel	2014	0.0	0.0
nueva_renca	1997	0.0	0.0
RoR_alto_jahuel	2011	0.0	0.0
central_candelaria	2005	0.0	0.0
cmpc_cordillera	2016	0.0	0.0
santa_marta	2015	0.0	0.0
rapel	1968	0.0	0.0
PV_melipilla_rapel	2017	0.0	0.0
Wind_melipilla_rapel	2014	0.0	0.0
