LOAD_ZONE	PERIOD	fixed_rural	fixed_urban
alto_jahuel	2018	16.82	403.38
alto_jahuel	2022	16.82	403.38
alto_jahuel	2026	16.82	403.38
alto_jahuel	2030	16.82	403.38
alto_jahuel	2034	16.82	403.38
ancoa	2018	27.7	64.8
ancoa	2022	27.7	64.8
ancoa	2026	27.7	64.8
ancoa	2030	27.7	64.8
ancoa	2034	27.7	64.8
cardones	2018	3.784	43.616
cardones	2022	3.784	43.616
cardones	2026	3.784	43.616
cardones	2030	3.784	43.616
cardones	2034	3.784	43.616
charrua	2018	13.94	63.46
charrua	2022	13.94	63.46
charrua	2026	13.94	63.46
charrua	2030	13.94	63.46
charrua	2034	13.94	63.46
crucero_encuentro	2018	2.844	139.056
crucero_encuentro	2022	2.844	139.056
crucero_encuentro	2026	2.844	139.056
crucero_encuentro	2030	2.844	139.056
crucero_encuentro	2034	2.844	139.056
diego_de_almagro	2018	2.18	24.62
diego_de_almagro	2022	2.18	24.62
diego_de_almagro	2026	2.18	24.62
diego_de_almagro	2030	2.18	24.62
diego_de_almagro	2034	2.18	24.62
hualpen	2018	21.184	96.416
hualpen	2022	21.184	96.416
hualpen	2026	21.184	96.416
hualpen	2030	21.184	96.416
hualpen	2034	21.184	96.416
itahue	2018	20.88	48.62
itahue	2022	20.88	48.62
itahue	2026	20.88	48.62
itahue	2030	20.88	48.62
itahue	2034	20.88	48.62
laberinto_zaldivar	2018	2.412	118.488
laberinto_zaldivar	2022	2.412	118.488
laberinto_zaldivar	2026	2.412	118.488
laberinto_zaldivar	2030	2.412	118.488
laberinto_zaldivar	2034	2.412	118.488
lagunas	2018	4.69	87.81
lagunas	2022	4.69	87.81
lagunas	2026	4.69	87.81
lagunas	2030	4.69	87.81
lagunas	2034	4.69	87.81
los_vilos	2018	1.786	7.414
los_vilos	2022	1.786	7.414
los_vilos	2026	1.786	7.414
los_vilos	2030	1.786	7.414
los_vilos	2034	1.786	7.414
maitencillo	2018	5.012	58.288
maitencillo	2022	5.012	58.288
maitencillo	2026	5.012	58.288
maitencillo	2030	5.012	58.288
maitencillo	2034	5.012	58.288
mejillones	2018	1.52	75.78
mejillones	2022	1.52	75.78
mejillones	2026	1.52	75.78
mejillones	2030	1.52	75.78
mejillones	2034	1.52	75.78
melipilla_rapel	2018	13.174	30.706
melipilla_rapel	2022	13.174	30.706
melipilla_rapel	2026	13.174	30.706
melipilla_rapel	2030	13.174	30.706
melipilla_rapel	2034	13.174	30.706
nogales	2018	1.944	46.156
nogales	2022	1.944	46.156
nogales	2026	1.944	46.156
nogales	2030	1.944	46.156
nogales	2034	1.944	46.156
pan_de_azucar	2018	9.062	38.438
pan_de_azucar	2022	9.062	38.438
pan_de_azucar	2026	9.062	38.438
pan_de_azucar	2030	9.062	38.438
pan_de_azucar	2034	9.062	38.438
polpaico	2018	3.848	92.552
polpaico	2022	3.848	92.552
polpaico	2026	3.848	92.552
polpaico	2030	3.848	92.552
polpaico	2034	3.848	92.552
puerto_montt	2018	31.96	74.44
puerto_montt	2022	31.96	74.44
puerto_montt	2026	31.96	74.44
puerto_montt	2030	31.96	74.44
puerto_montt	2034	31.96	74.44
quillota	2018	4.404	107.796
quillota	2022	4.404	107.796
quillota	2026	4.404	107.796
quillota	2030	4.404	107.796
quillota	2034	4.404	107.796
temuco	2018	6.94	14.82
temuco	2022	6.94	14.82
temuco	2026	6.94	14.82
temuco	2030	6.94	14.82
temuco	2034	6.94	14.82
