PERIODS	DG_INTERVALS	dg_level_start_urban_loss	dg_level_end_urban_loss	dg_level_start_rural_loss	dg_level_end_rural_loss	dg_level_urban_constant	dg_level_rural_constant
2018	0	4.47	3.02	6.24	4.08	4.2	5.82
2018	1	3.02	2.27	4.08	3.08	4.2	5.74
2018	2	2.27	1.92	3.08	2.5	4.2	5.83
2018	3	1.92	1.84	2.5	2.29	4.2	5.83
2018	4	1.84	1.85	2.29	2.41	4.2	5.83
2018	5	1.85	2.15	2.41	2.91	4.2	5.83
2018	6	2.15	2.75	2.91	3.87	4.2	5.83
2018	7	2.75	3.45	3.87	5.07	4.2	5.82
2018	8	3.45	4.83	5.07	6.56	4.2	5.83
2018	9	4.83	12.07	6.56	9	4.2	5.81
2022	0	5.33	3.72	7.03	4.82	4.99	6.52
2022	1	3.72	2.86	4.82	3.6	4.99	6.53
2022	2	2.86	2.35	3.6	2.9	4.99	6.54
2022	3	2.35	2.18	2.9	2.53	4.99	6.54
2022	4	2.18	2.12	2.53	2.45	4.99	6.54
2022	5	2.12	2.22	2.45	2.66	4.99	6.54
2022	6	2.22	2.58	2.66	3.2	4.99	6.54
2022	7	2.58	3.21	3.2	4.14	4.99	6.53
2022	8	3.21	3.83	4.14	5.22	4.99	6.53
2022	9	3.83	5.12	5.22	6.62	4.99	6.55
2026	0	6.03	4.36	7.96	5.64	5.63	7.38
2026	1	4.36	3.4	5.64	4.29	5.63	7.39
2026	2	3.4	2.78	4.29	3.46	5.63	7.4
2026	3	2.78	2.48	3.46	2.95	5.63	7.4
2026	4	2.48	2.38	2.95	2.7	5.63	7.4
2026	5	2.38	2.33	2.7	2.67	5.63	7.4
2026	6	2.33	2.49	2.67	2.96	5.63	7.33
2026	7	2.49	2.88	2.96	3.38	5.63	7.4
2026	8	2.88	3.5	3.38	4.41	5.63	7.13
2026	9	3.5	4.1	4.41	5.36	5.63	7.39
2030	0	6.99	5.06	9.06	6.63	6.52	8.4
2030	1	5.06	4.01	6.63	5.17	6.28	8.43
2030	2	4.01	3.25	5.17	4.21	6.28	8.46
2030	3	3.25	2.71	4.21	3.57	6.28	8.46
2030	4	2.71	2.42	3.57	3.17	6.28	8.46
2030	5	2.42	2.3	3.17	3.01	6.28	8.46
2030	6	2.3	2.2	3.01	3.07	6.28	8.46
2030	7	2.2	2.24	3.07	3.32	6.28	8.46
2030	8	2.24	2.44	3.32	3.84	6.28	8.46
2030	9	2.44	2.81	3.84	4.68	6.28	8.46
2034	0	6.74	5.21	10.44	7.86	6.5	9.68
2034	1	5.21	4.14	7.86	6.26	6.5	9.71
2034	2	4.14	3.41	6.26	5.15	6.5	9.73
2034	3	3.41	2.94	5.15	4.39	6.5	9.74
2034	4	2.94	2.76	4.39	3.86	6.5	9.74
2034	5	2.76	2.67	3.86	3.53	6.5	9.75
2034	6	2.67	2.66	3.53	3.42	6.5	9.75
2034	7	2.66	2.85	3.42	3.49	6.5	9.74
2034	8	2.85	3.24	3.49	3.74	6.5	9.74
2034	9	3.24	3.84	3.74	4.12	6.5	9.74
