LOAD_ZONE	PERIOD	fixed_rural	fixed_urban
alto_jahuel	2018	5.6	134.4
alto_jahuel	2022	5.6	134.4
alto_jahuel	2026	5.6	134.4
alto_jahuel	2030	5.6	134.4
alto_jahuel	2034	5.6	134.4
ancoa	2018	9.2	21.6
ancoa	2022	9.2	21.6
ancoa	2026	9.2	21.6
ancoa	2030	9.2	21.6
ancoa	2034	9.2	21.6
cardones	2018	1.2	14.5
cardones	2022	1.2	14.5
cardones	2026	1.2	14.5
cardones	2030	1.2	14.5
cardones	2034	1.2	14.5
charrua	2018	4.6	21.1
charrua	2022	4.6	21.1
charrua	2026	4.6	21.1
charrua	2030	4.6	21.1
charrua	2034	4.6	21.1
crucero_encuentro	2018	0.9	46.3
crucero_encuentro	2022	0.9	46.3
crucero_encuentro	2026	0.9	46.3
crucero_encuentro	2030	0.9	46.3
crucero_encuentro	2034	0.9	46.3
diego_de_almagro	2018	0.7	8.2
diego_de_almagro	2022	0.7	8.2
diego_de_almagro	2026	0.7	8.2
diego_de_almagro	2030	0.7	8.2
diego_de_almagro	2034	0.7	8.2
hualpen	2018	7.0	32.1
hualpen	2022	7.0	32.1
hualpen	2026	7.0	32.1
hualpen	2030	7.0	32.1
hualpen	2034	7.0	32.1
itahue	2018	6.9	16.2
itahue	2022	6.9	16.2
itahue	2026	6.9	16.2
itahue	2030	6.9	16.2
itahue	2034	6.9	16.2
laberinto_zaldivar	2018	0.8	39.4
laberinto_zaldivar	2022	0.8	39.4
laberinto_zaldivar	2026	0.8	39.4
laberinto_zaldivar	2030	0.8	39.4
laberinto_zaldivar	2034	0.8	39.4
lagunas	2018	1.5	29.2
lagunas	2022	1.5	29.2
lagunas	2026	1.5	29.2
lagunas	2030	1.5	29.2
lagunas	2034	1.5	29.2
los_vilos	2018	0.5	2.4
los_vilos	2022	0.5	2.4
los_vilos	2026	0.5	2.4
los_vilos	2030	0.5	2.4
los_vilos	2034	0.5	2.4
maitencillo	2018	1.6	19.4
maitencillo	2022	1.6	19.4
maitencillo	2026	1.6	19.4
maitencillo	2030	1.6	19.4
maitencillo	2034	1.6	19.4
mejillones	2018	0.5	25.2
mejillones	2022	0.5	25.2
mejillones	2026	0.5	25.2
mejillones	2030	0.5	25.2
mejillones	2034	0.5	25.2
melipilla_rapel	2018	4.3	10.2
melipilla_rapel	2022	4.3	10.2
melipilla_rapel	2026	4.3	10.2
melipilla_rapel	2030	4.3	10.2
melipilla_rapel	2034	4.3	10.2
nogales	2018	0.6	15.3
nogales	2022	0.6	15.3
nogales	2026	0.6	15.3
nogales	2030	0.6	15.3
nogales	2034	0.6	15.3
pan_de_azucar	2018	3.0	12.8
pan_de_azucar	2022	3.0	12.8
pan_de_azucar	2026	3.0	12.8
pan_de_azucar	2030	3.0	12.8
pan_de_azucar	2034	3.0	12.8
polpaico	2018	1.2	30.8
polpaico	2022	1.2	30.8
polpaico	2026	1.2	30.8
polpaico	2030	1.2	30.8
polpaico	2034	1.2	30.8
puerto_montt	2018	10.6	24.8
puerto_montt	2022	10.6	24.8
puerto_montt	2026	10.6	24.8
puerto_montt	2030	10.6	24.8
puerto_montt	2034	10.6	24.8
quillota	2018	1.4	35.9
quillota	2022	1.4	35.9
quillota	2026	1.4	35.9
quillota	2030	1.4	35.9
quillota	2034	1.4	35.9
temuco	2018	2.3	4.9
temuco	2022	2.3	4.9
temuco	2026	2.3	4.9
temuco	2030	2.3	4.9
temuco	2034	2.3	4.9
