HYDRO_PROJECTS	hydro_efficiency	hydraulic_location
rucue	1.33	rucue_quilleco
machicura	0.3214	machicura_san_ignacio
palmucho	1.143	palmucho
pehuenche	1.6667	pehuenche
angostura	0.45	angostura
quilleco	0.55	rucue_quilleco
rapel	0.674	rapel
canutillar	1.92	canutillar
pangue	0.8851	pangue
ralco	1.55	ralco
san_ignacio	0.191	machicura_san_ignacio
loma_alta	0.452	isla_curillinque_loma_alta
los_condores	6	los_condores
el_toro	4.74	el_toro
abanico	1.27	abanico
isla	0.81	isla_curillinque_loma_alta
cipreses	2.7857	cipreses
antuco	1.63	antuco
curillinque	1.012	isla_curillinque_loma_alta
colbun	1.4286	colbun
san_pedro	0.34	san_pedro
