TIMESERIES	ts_period	ts_duration_of_tp	ts_num_tps	ts_scale_to_period
C5_2018	2018	1.0	24	268.000000001
C6_2018	2018	1.0	24	212.0
C1_2018	2018	1.0	24	168.0
C2_2018	2018	1.0	24	388.000000001
C4_2018	2018	1.0	24	112.0
C3_2018	2018	1.0	24	312.0
C5_2022	2022	1.0	24	268.000000001
C6_2022	2022	1.0	24	212.0
C1_2022	2022	1.0	24	168.0
C2_2022	2022	1.0	24	388.000000001
C4_2022	2022	1.0	24	112.0
C3_2022	2022	1.0	24	312.0
C5_2026	2026	1.0	24	268.000000001
C6_2026	2026	1.0	24	212.0
C1_2026	2026	1.0	24	168.0
C2_2026	2026	1.0	24	388.000000001
C4_2026	2026	1.0	24	112.0
C3_2026	2026	1.0	24	312.0
C5_2030	2030	1.0	24	268.000000001
C6_2030	2030	1.0	24	212.0
C1_2030	2030	1.0	24	168.0
C2_2030	2030	1.0	24	388.000000001
C4_2030	2030	1.0	24	112.0
C3_2030	2030	1.0	24	312.0
C5_2034	2034	1.0	24	268.000000001
C6_2034	2034	1.0	24	212.0
C1_2034	2034	1.0	24	168.0
C2_2034	2034	1.0	24	388.000000001
C4_2034	2034	1.0	24	112.0
C3_2034	2034	1.0	24	312.0
