LOAD_ZONE	TIMEPOINT	local_dg_capacity_factor
lagunas	720	0
lagunas	721	0
lagunas	722	0
lagunas	723	0
lagunas	724	0
lagunas	725	0
lagunas	726	0
lagunas	727	0.019
lagunas	728	0.185
lagunas	729	0.389
lagunas	730	0.544
lagunas	731	0.644
lagunas	732	0.7
lagunas	733	0.713
lagunas	734	0.684
lagunas	735	0.615
lagunas	736	0.496
lagunas	737	0.325
lagunas	738	0.119
lagunas	739	0.008
lagunas	740	0
lagunas	741	0
lagunas	742	0
lagunas	743	0
lagunas	2424	0
lagunas	2425	0
lagunas	2426	0
lagunas	2427	0
lagunas	2428	0
lagunas	2429	0
lagunas	2430	0
lagunas	2431	0.002
lagunas	2432	0.207
lagunas	2433	0.416
lagunas	2434	0.568
lagunas	2435	0.661
lagunas	2436	0.709
lagunas	2437	0.709
lagunas	2438	0.666
lagunas	2439	0.58
lagunas	2440	0.445
lagunas	2441	0.113
lagunas	2442	0.049
lagunas	2443	0
lagunas	2444	0
lagunas	2445	0
lagunas	2446	0
lagunas	2447	0
lagunas	3360	0
lagunas	3361	0
lagunas	3362	0
lagunas	3363	0
lagunas	3364	0
lagunas	3365	0
lagunas	3366	0
lagunas	3367	0
lagunas	3368	0.188
lagunas	3369	0.394
lagunas	3370	0.541
lagunas	3371	0.63
lagunas	3372	0.679
lagunas	3373	0.674
lagunas	3374	0.627
lagunas	3375	0.541
lagunas	3376	0.402
lagunas	3377	0.211
lagunas	3378	0.003
lagunas	3379	0
lagunas	3380	0
lagunas	3381	0
lagunas	3382	0
lagunas	3383	0
lagunas	5064	0
lagunas	5065	0
lagunas	5066	0
lagunas	5067	0
lagunas	5068	0
lagunas	5069	0
lagunas	5070	0
lagunas	5071	0
lagunas	5072	0.166
lagunas	5073	0.389
lagunas	5074	0.554
lagunas	5075	0.657
lagunas	5076	0.7
lagunas	5077	0.704
lagunas	5078	0.664
lagunas	5079	0.579
lagunas	5080	0.445
lagunas	5081	0.259
lagunas	5082	0.043
lagunas	5083	0
lagunas	5084	0
lagunas	5085	0
lagunas	5086	0
lagunas	5087	0
lagunas	6984	0
lagunas	6985	0
lagunas	6986	0
lagunas	6987	0
lagunas	6988	0
lagunas	6989	0
lagunas	6990	0
lagunas	6991	0.082
lagunas	6992	0.308
lagunas	6993	0.506
lagunas	6994	0.642
lagunas	6995	0.718
lagunas	6996	0.742
lagunas	6997	0.731
lagunas	6998	0.679
lagunas	6999	0.586
lagunas	7000	0.439
lagunas	7001	0.238
lagunas	7002	0.039
lagunas	7003	0
lagunas	7004	0
lagunas	7005	0
lagunas	7006	0
lagunas	7007	0
lagunas	7536	0
lagunas	7537	0
lagunas	7538	0
lagunas	7539	0
lagunas	7540	0
lagunas	7541	0
lagunas	7542	0
lagunas	7543	0.093
lagunas	7544	0.304
lagunas	7545	0.496
lagunas	7546	0.629
lagunas	7547	0.703
lagunas	7548	0.735
lagunas	7549	0.725
lagunas	7550	0.672
lagunas	7551	0.576
lagunas	7552	0.428
lagunas	7553	0.23
lagunas	7554	0.041
lagunas	7555	0
lagunas	7556	0
lagunas	7557	0
lagunas	7558	0
lagunas	7559	0
lagunas	35760	0
lagunas	35761	0
lagunas	35762	0
lagunas	35763	0
lagunas	35764	0
lagunas	35765	0
lagunas	35766	0
lagunas	35767	0.019
lagunas	35768	0.185
lagunas	35769	0.389
lagunas	35770	0.544
lagunas	35771	0.644
lagunas	35772	0.7
lagunas	35773	0.713
lagunas	35774	0.684
lagunas	35775	0.615
lagunas	35776	0.496
lagunas	35777	0.325
lagunas	35778	0.119
lagunas	35779	0.008
lagunas	35780	0
lagunas	35781	0
lagunas	35782	0
lagunas	35783	0
lagunas	37464	0
lagunas	37465	0
lagunas	37466	0
lagunas	37467	0
lagunas	37468	0
lagunas	37469	0
lagunas	37470	0
lagunas	37471	0.002
lagunas	37472	0.207
lagunas	37473	0.416
lagunas	37474	0.568
lagunas	37475	0.661
lagunas	37476	0.709
lagunas	37477	0.709
lagunas	37478	0.666
lagunas	37479	0.58
lagunas	37480	0.445
lagunas	37481	0.113
lagunas	37482	0.049
lagunas	37483	0
lagunas	37484	0
lagunas	37485	0
lagunas	37486	0
lagunas	37487	0
lagunas	38400	0
lagunas	38401	0
lagunas	38402	0
lagunas	38403	0
lagunas	38404	0
lagunas	38405	0
lagunas	38406	0
lagunas	38407	0
lagunas	38408	0.188
lagunas	38409	0.394
lagunas	38410	0.541
lagunas	38411	0.63
lagunas	38412	0.679
lagunas	38413	0.674
lagunas	38414	0.627
lagunas	38415	0.541
lagunas	38416	0.402
lagunas	38417	0.211
lagunas	38418	0.003
lagunas	38419	0
lagunas	38420	0
lagunas	38421	0
lagunas	38422	0
lagunas	38423	0
lagunas	40104	0
lagunas	40105	0
lagunas	40106	0
lagunas	40107	0
lagunas	40108	0
lagunas	40109	0
lagunas	40110	0
lagunas	40111	0
lagunas	40112	0.166
lagunas	40113	0.389
