load_zone	fuel	period	fuel_cost
lagunas	Coal	2018	3.5175
lagunas	Diesel	2018	15.04
lagunas	Gas	2018	8.87
lagunas	Coal	2022	3.565
lagunas	Diesel	2022	18.815
lagunas	Gas	2022	10.1375
lagunas	Coal	2026	3.5625
lagunas	Diesel	2026	21.0775
lagunas	Gas	2026	10.365
lagunas	Coal	2030	3.5125
lagunas	Diesel	2030	23.655
lagunas	Gas	2030	10.3975
lagunas	Coal	2034	3.5175
lagunas	Diesel	2034	26.8275
lagunas	Gas	2034	10.3975
crucero_encuentro	Coal	2018	3.5175
crucero_encuentro	Diesel	2018	15.04
crucero_encuentro	Gas	2018	8.87
crucero_encuentro	Coal	2022	3.565
crucero_encuentro	Diesel	2022	18.815
crucero_encuentro	Gas	2022	10.1375
crucero_encuentro	Coal	2026	3.5625
crucero_encuentro	Diesel	2026	21.0775
crucero_encuentro	Gas	2026	10.365
crucero_encuentro	Coal	2030	3.5125
crucero_encuentro	Diesel	2030	23.655
crucero_encuentro	Gas	2030	10.3975
crucero_encuentro	Coal	2034	3.5175
crucero_encuentro	Diesel	2034	26.8275
crucero_encuentro	Gas	2034	10.3975
mejillones	Coal	2018	3.5175
mejillones	Diesel	2018	15.04
mejillones	Gas	2018	8.87
mejillones	Coal	2022	3.565
mejillones	Diesel	2022	18.815
mejillones	Gas	2022	10.1375
mejillones	Coal	2026	3.5625
mejillones	Diesel	2026	21.0775
mejillones	Gas	2026	10.365
mejillones	Coal	2030	3.5125
mejillones	Diesel	2030	23.655
mejillones	Gas	2030	10.3975
mejillones	Coal	2034	3.5175
mejillones	Diesel	2034	26.8275
mejillones	Gas	2034	10.3975
laberinto_zaldivar	Coal	2018	3.5175
laberinto_zaldivar	Diesel	2018	15.04
laberinto_zaldivar	Gas	2018	8.87
laberinto_zaldivar	Coal	2022	3.565
laberinto_zaldivar	Diesel	2022	18.815
laberinto_zaldivar	Gas	2022	10.1375
laberinto_zaldivar	Coal	2026	3.5625
laberinto_zaldivar	Diesel	2026	21.0775
laberinto_zaldivar	Gas	2026	10.365
laberinto_zaldivar	Coal	2030	3.5125
laberinto_zaldivar	Diesel	2030	23.655
laberinto_zaldivar	Gas	2030	10.3975
laberinto_zaldivar	Coal	2034	3.5175
laberinto_zaldivar	Diesel	2034	26.8275
laberinto_zaldivar	Gas	2034	10.3975
diego_de_almagro	Coal	2018	3.5175
diego_de_almagro	Diesel	2018	15.04
diego_de_almagro	Gas	2018	8.87
diego_de_almagro	Coal	2022	3.565
diego_de_almagro	Diesel	2022	18.815
diego_de_almagro	Gas	2022	10.1375
diego_de_almagro	Coal	2026	3.5625
diego_de_almagro	Diesel	2026	21.0775
diego_de_almagro	Gas	2026	10.365
diego_de_almagro	Coal	2030	3.5125
diego_de_almagro	Diesel	2030	23.655
diego_de_almagro	Gas	2030	10.3975
diego_de_almagro	Coal	2034	3.5175
diego_de_almagro	Diesel	2034	26.8275
diego_de_almagro	Gas	2034	10.3975
cardones	Coal	2018	3.5175
cardones	Diesel	2018	15.04
cardones	Gas	2018	8.87
cardones	Coal	2022	3.565
cardones	Diesel	2022	18.815
cardones	Gas	2022	10.1375
cardones	Coal	2026	3.5625
cardones	Diesel	2026	21.0775
cardones	Gas	2026	10.365
cardones	Coal	2030	3.5125
cardones	Diesel	2030	23.655
cardones	Gas	2030	10.3975
cardones	Coal	2034	3.5175
cardones	Diesel	2034	26.8275
cardones	Gas	2034	10.3975
maitencillo	Coal	2018	3.5175
maitencillo	Diesel	2018	15.04
maitencillo	Gas	2018	8.87
maitencillo	Coal	2022	3.565
maitencillo	Diesel	2022	18.815
maitencillo	Gas	2022	10.1375
maitencillo	Coal	2026	3.5625
maitencillo	Diesel	2026	21.0775
maitencillo	Gas	2026	10.365
maitencillo	Coal	2030	3.5125
maitencillo	Diesel	2030	23.655
maitencillo	Gas	2030	10.3975
maitencillo	Coal	2034	3.5175
maitencillo	Diesel	2034	26.8275
maitencillo	Gas	2034	10.3975
pan_de_azucar	Coal	2018	3.5175
pan_de_azucar	Diesel	2018	15.04
pan_de_azucar	Gas	2018	8.87
pan_de_azucar	Coal	2022	3.565
pan_de_azucar	Diesel	2022	18.815
pan_de_azucar	Gas	2022	10.1375
pan_de_azucar	Coal	2026	3.5625
pan_de_azucar	Diesel	2026	21.0775
pan_de_azucar	Gas	2026	10.365
pan_de_azucar	Coal	2030	3.5125
pan_de_azucar	Diesel	2030	23.655
pan_de_azucar	Gas	2030	10.3975
pan_de_azucar	Coal	2034	3.5175
pan_de_azucar	Diesel	2034	26.8275
pan_de_azucar	Gas	2034	10.3975
los_vilos	Coal	2018	3.5175
los_vilos	Diesel	2018	15.04
los_vilos	Gas	2018	8.87
los_vilos	Coal	2022	3.565
los_vilos	Diesel	2022	18.815
los_vilos	Gas	2022	10.1375
los_vilos	Coal	2026	3.5625
los_vilos	Diesel	2026	21.0775
los_vilos	Gas	2026	10.365
los_vilos	Coal	2030	3.5125
los_vilos	Diesel	2030	23.655
los_vilos	Gas	2030	10.3975
los_vilos	Coal	2034	3.5175
los_vilos	Diesel	2034	26.8275
los_vilos	Gas	2034	10.3975
