RESERVOIRS	res_min_vol	res_max_vol	initial_res_vol	final_res_vol
laguna_del_maule	0	1582.5089	791.25445	791.25445
embalse_ralco	409.083898	1172.732685	790.9082915	790.9082915
laguna_invernada	0.222715	180.438959	90.330837	90.330837
lago_chapo	90	1065.4685	577.73425	577.73425
lago_rapel	142.645186	433.315507	287.9803465	287.9803465
embalse_colbun	380.201656	1557.811776	969.006716	969.006716
embalse_pangue	26.6	71.96	49.28	49.28
embalse_melado	106.58	129.562077	118.0710385	118.0710385
lago_laja	420.967311	5573.53908	2997.253196	2997.253196
embalse_machicura	2.330011	17.70092	10.0154655	10.0154655
poza_polcura	0	1.079195	0.5395975	0.5395975
embalse_san_pedro	24	30	27	27
