PLANNING_RESERVE_REQUIREMENT	LOAD_ZONE
system_planning_reserve	lagunas
system_planning_reserve	crucero_encuentro
system_planning_reserve	mejillones
system_planning_reserve	laberinto_zaldivar
system_planning_reserve	diego_de_almagro
system_planning_reserve	cardones
system_planning_reserve	maitencillo
system_planning_reserve	pan_de_azucar
system_planning_reserve	los_vilos
system_planning_reserve	nogales
system_planning_reserve	quillota
system_planning_reserve	polpaico
system_planning_reserve	alto_jahuel
system_planning_reserve	melipilla_rapel
system_planning_reserve	itahue
system_planning_reserve	ancoa
system_planning_reserve	hualpen
system_planning_reserve	charrua
system_planning_reserve	temuco
system_planning_reserve	puerto_montt
