GENERATION_PROJECT	build_year	gen_capacity_limit_mw	gen_connect_cost_per_mw	gen_dbid	gen_energy_source	gen_fixed_om	gen_forced_outage_rate	gen_full_load_heat_rate	gen_is_baseload	gen_is_cogen	gen_is_variable	gen_load_zone	gen_max_age	gen_min_build_capacity	gen_min_downtime	gen_min_load	gen_min_uptime	gen_overnight_cost	gen_predetermined_cap	gen_ramp	gen_scheduled_outage_rate	gen_tech	gen_unit_size	gen_variable_om	gen_can_provide_cap_reserves
taparaca_cttar	1999	158.0	0	3244	Coal	0	0.041	11.39	0	0	0	lagunas	30	.	8	71.1	4	0	158.0	31.6	0.1	CST	.	1.4	1
DE_lagunas	1991	138.14	0	3165	Diesel	0	0.05	12	0	0	0	lagunas	20	.	3	62.163	3	0	138.14	69.07	0.05	ICE	.	23.6	1
RoR_lagunas	2010	37.14	0	.	Water	66000	0.03	.	0	0	1	lagunas	40	.	.	.	.	4100000	17.14	.	0.04	Hydro-RoR	.	3.414065988	0
PV_arica_solar_1	2018	18.0	0	.	Solar	0	0.02	.	0	0	1	lagunas	25	.	.	.	.	0	18.0	.	0.0	PV	.	0.0	0
PV_huatacondo	2019	98.0	0	.	Solar	0	0.02	.	0	0	1	lagunas	25	.	.	.	.	0	98.0	.	0.0	PV	.	0.0	0
PV_la_huayca_2	2018	24.99	0	.	Solar	0	0.02	.	0	0	1	lagunas	25	.	.	.	.	0	24.99	.	0.0	PV	.	0.0	0
PV_lagunas	2014	80068.98	0	3272	Solar	18000	0.02	.	0	0	1	lagunas	25	.	.	.	.	1200000	68.98	.	0.0	PV	.	0.0	0
tocopilla_u16	2001	397.35	0	3305	Gas	0	0.03	6.86	0	0	0	crucero_encuentro	25	.	4	139.0725	2	0	397.35	158.94	0.08	CCGT	.	6.37	1
norgener_nto_1	1995	139.5	0	3299	Coal	0	0.05	10.22	0	0	0	crucero_encuentro	30	.	8	62.775	4	0	139.5	27.9	0.1	CST	.	1.66	1
norgener_nto_2	2011	135.8	0	3300	Coal	0	0.05	10.14	0	0	0	crucero_encuentro	30	.	8	61.11	4	0	135.8	27.16	0.1	CST	.	1.63	1
tocopilla_u12	1999	86.94	0	3301	Coal	0	0.06	13.05	0	0	0	crucero_encuentro	30	.	8	39.123	4	0	86.94	17.388	0.1	CST	.	2.97	1
tocopilla_u13	1999	85.67	0	3302	Coal	0	0.06	12.48	0	0	0	crucero_encuentro	30	.	8	38.5515	4	0	85.67	17.134	0.1	CST	.	2.97	1
tocopilla_u14	1999	136.4	0	3303	Coal	0	0.06	11.5	0	0	0	crucero_encuentro	30	.	8	61.38	4	0	136.4	27.28	0.1	CST	.	2.0	1
tocopilla_u15	1999	132.4	0	3304	Coal	0	0.06	11.1	0	0	0	crucero_encuentro	30	.	8	59.58	4	0	132.4	26.48	0.1	CST	.	2.0	1
geothermal_cerro_pabellon	2017	27.5	0	.	Geothermal	0	0.07	.	0	0	0	crucero_encuentro	30	.	1	0.0	1	0	27.5	27.5	0.01	GST	.	2.0	1
TG_Diesel_crucero_encuentro	2009	228.72	0	3160	Diesel	0	0.04	12.8	0	0	0	crucero_encuentro	25	.	2	68.616	2	0	228.72	91.488	0.08	OCGT	.	15.0	1
PV_cerro_dominador	2018	97.9	0	.	Solar	0	0.02	.	0	0	1	crucero_encuentro	25	.	.	.	.	0	97.9	.	0.0	PV	.	0.0	0
PV_crucero_encuentro	2016	400276.55	0	3271	Solar	18000	0.02	.	0	0	1	crucero_encuentro	25	.	.	.	.	1200000	276.55	.	0.0	PV	.	0.0	0
Wind_crucero_encuentro	2014	1590.0	0	3264	Wind	36000	0.02	.	0	0	1	crucero_encuentro	25	.	.	.	.	1800000	90.0	.	0.01	Wind	.	0.0	0
atacama_cc1	1999	395.9	0	3306	Gas	0	0.023	7.5	0	0	0	mejillones	25	.	4	138.565	2	0	395.9	158.36	0.08	CCGT	.	4.39	1
atacama_cc2	2002	384.7	0	3307	Gas	0	0.023	7.5	0	0	0	mejillones	25	.	4	134.645	2	0	384.7	153.88	0.08	CCGT	.	4.39	1
kelar	2016	532.46	0	3310	Gas	0	0.026	7.2	0	0	0	mejillones	25	.	4	186.361	2	0	532.46	212.984	0.08	CCGT	.	3.2	1
mejillones_ctm3	2000	250.75	0	3243	Gas	0	0.023	7.108	0	0	0	mejillones	25	.	4	87.7625	2	0	250.75	100.3	0.08	CCGT	.	4.65	1
andina_cta	2011	177.0	0	3191	Coal	0	0.05	10.22	0	0	0	mejillones	30	.	8	79.65	4	0	177.0	35.4	0.1	CST	.	5.91	1
angamos_ang_1	2011	276.9	0	3294	Coal	0	0.05	10.73	0	0	0	mejillones	30	.	8	124.605	4	0	276.9	55.38	0.1	CST	.	5.63	1
angamos_ang_2	2011	281.3	0	3295	Coal	0	0.05	10.73	0	0	0	mejillones	30	.	8	126.585	4	0	281.3	56.26	0.1	CST	.	4.22	1
cochrane_cch1	2016	274.92	0	3308	Coal	0	0.033	8.03	0	0	0	mejillones	30	.	8	123.714	4	0	274.92	54.984	0.1	CST	.	6.0	1
cochrane_cch2	2016	274.8	0	3309	Coal	0	0.033	8.03	0	0	0	mejillones	30	.	8	123.66	4	0	274.8	54.96	0.1	CST	.	6.0	1
hornitos_cth	2011	177.54	0	3298	Coal	0	0.05	9.86	0	0	0	mejillones	30	.	8	79.893	4	0	177.54	35.508	0.1	CST	.	5.74	1
iem1_mejillones	2019	375.0	0	.	Coal	0	0.043	10.13	0	0	0	mejillones	30	.	8	168.75	4	0	375.0	75.0	0.1	CST	.	3.36	1
mejillones_ctm_1	1995	159.63	0	3296	Coal	0	0.05	11.11	0	0	0	mejillones	30	.	8	71.8335	4	0	159.63	31.926	0.1	CST	.	2.08	1
mejillones_ctm_2	1995	173.84	0	3297	Coal	0	0.05	10.6	0	0	0	mejillones	30	.	8	78.228	4	0	173.84	34.768	0.1	CST	.	2.56	1
DE_laberinto_zaldivar	2002	40.44	0	3168	Diesel	0	0.07	9.9	0	0	0	laberinto_zaldivar	20	.	3	18.198	3	0	40.44	20.22	0.05	ICE	.	23.0	1
PV_laberinto_zaldivar	2016	400226.06	0	3265	Solar	18000	0.02	.	0	0	1	laberinto_zaldivar	25	.	.	.	.	1200000	226.06	.	0.0	PV	.	0.0	0
Wind_laberinto_zaldivar	2018	10112.0	0	.	Wind	36000	0.02	.	0	0	1	laberinto_zaldivar	25	.	.	.	.	1800000	112.0	.	0.01	Wind	.	0.0	0
central_taltal	2000	244.9	0	3292	Gas	0	0.05	9.9	0	0	0	diego_de_almagro	25	.	4	85.715	2	0	244.9	97.96	0.08	CCGT	.	6.75	1
TG_Diesel_diego_de_almagro	2008	211.55	0	3157	Diesel	0	0.04	11	0	0	0	diego_de_almagro	25	.	2	63.465	2	0	211.55	84.62	0.08	OCGT	.	28.0	1
PV_diego_de_almagro	2016	50451.73	0	3270	Solar	18000	0.02	.	0	0	1	diego_de_almagro	25	.	.	.	.	1200000	451.73	.	0.0	PV	.	0.0	0
Wind_diego_de_almagro	2015	127.0	0	3275	Wind	36000	0.02	.	0	0	1	diego_de_almagro	25	.	.	.	.	1800000	99.0	.	0.01	Wind	.	0.0	0
DE_cardones	2009	100.99	0	3293	Diesel	0	0.05	9	0	0	0	cardones	20	.	3	45.4455	3	0	100.99	50.495	0.05	ICE	.	28.0	1
TG_Diesel_cardones	2009	153.04	0	3170	Diesel	0	0.04	9.5	0	0	0	cardones	25	.	2	45.912	2	0	153.04	61.216	0.08	OCGT	.	24.4	1
PV_cardones	2016	50435.7	0	3269	Solar	18000	0.02	.	0	0	1	cardones	25	.	.	.	.	1200000	435.7	.	0.0	PV	.	0.0	0
guacolda_1	1995	152.0	0	3280	Coal	0	0.033	9.2	0	0	0	maitencillo	30	.	8	68.4	4	0	152.0	30.4	0.1	CST	.	1.0	1
guacolda_2	1996	152.0	0	3281	Coal	0	0.033	9.2	0	0	0	maitencillo	30	.	8	68.4	4	0	152.0	30.4	0.1	CST	.	1.0	1
guacolda_3	2009	152.0	0	3282	Coal	0	0.033	8.9	0	0	0	maitencillo	30	.	8	68.4	4	0	152.0	30.4	0.1	CST	.	2.1	1
guacolda_4	2010	152.0	0	3283	Coal	0	0.033	8.9	0	0	0	maitencillo	30	.	8	68.4	4	0	152.0	30.4	0.1	CST	.	2.0	1
guacolda_5	2015	152.0	0	3284	Coal	0	0.033	8.9	0	0	0	maitencillo	30	.	8	68.4	4	0	152.0	30.4	0.1	CST	.	2.1	1
RoR_maitencillo	2013	10.12	0	.	Water	66000	0.03	.	0	0	1	maitencillo	40	.	.	.	.	4100000	5.12	.	0.04	Hydro-RoR	.	3.121419678	0
TG_Diesel_maitencillo	1978	58.0	0	3156	Diesel	0	0.36	13.8	0	0	0	maitencillo	25	.	2	17.4	2	0	58.0	23.2	0.08	OCGT	.	7.86	1
PV_maitencillo	2017	50198.96	0	.	Solar	18000	0.02	.	0	0	1	maitencillo	25	.	.	.	.	1200000	198.96	.	0.0	PV	.	0.0	0
Wind_maitencillo	2017	221.2	0	.	Wind	36000	0.02	.	0	0	1	maitencillo	25	.	.	.	.	1800000	193.2	.	0.01	Wind	.	0.0	0
Wind_sarco	2019	168.5	0	.	Wind	0	0.02	.	0	0	1	maitencillo	25	.	.	.	.	0	168.5	.	0.01	Wind	.	0.0	0
DE_pan_de_azucar	2008	107.0	0	3159	Diesel	0	0.05	8.72	0	0	0	pan_de_azucar	20	.	3	48.15	3	0	107.0	53.5	0.05	ICE	.	28.0	1
RoR_pan_de_azucar	2009	58.2	0	3182	Water	66000	0.03	.	0	0	1	pan_de_azucar	40	.	.	.	.	4100000	28.2	.	0.04	Hydro-RoR	.	3.316357991	0
PV_pan_de_Azucar	2015	1126.54	0	10313	Solar	18000	0.02	.	0	0	1	pan_de_azucar	25	.	.	.	.	1200000	26.54	.	0.0	PV	.	0.0	0
Wind_pan_de_azucar	2016	717.2	0	3279	Wind	36000	0.02	.	0	0	1	pan_de_azucar	25	.	.	.	.	1800000	523.2	.	0.01	Wind	.	0.0	0
DE_los_vilos	2008	248.2	0	3169	Diesel	0	0.05	8.72	0	0	0	los_vilos	20	.	3	111.69	3	0	248.2	124.1	0.05	ICE	.	27.0	1
PV_los_vilos	2016	1118.88	0	.	Solar	18000	0.02	.	0	0	1	los_vilos	25	.	.	.	.	1200000	18.88	.	0.0	PV	.	0.0	0
Wind_los_vilos	2010	169.15	0	3277	Wind	0	0.02	.	0	0	1	los_vilos	25	.	.	.	.	0	169.15	.	0.01	Wind	.	0.0	0
campiche	2013	272.0	0	3267	Coal	0	0.033	9.7	0	0	0	nogales	30	.	8	122.4	4	0	272.0	54.4	0.1	CST	.	5.55	1
nueva_ventanas	2010	272.0	0	3221	Coal	0	0.033	9.7	0	0	0	nogales	30	.	8	122.4	4	0	272.0	54.4	0.1	CST	.	5.55	1
ventanas_1	2005	120.0	0	3285	Coal	0	0.07	10.7	0	0	0	nogales	30	.	8	54.0	4	0	120.0	24.0	0.1	CST	.	2.18	1
ventanas_2	2008	220.0	0	3286	Coal	0	0.033	10.2	0	0	0	nogales	30	.	8	99.0	4	0	220.0	44.0	0.1	CST	.	1.38	1
PV_nogales	2018	134.92	0	.	Solar	18000	0.02	.	0	0	1	nogales	25	.	.	.	.	1200000	34.92	.	0.0	PV	.	0.0	0
nehuenco_1	1998	368.4	0	3218	Gas	0	0.026	7.13	0	0	0	quillota	25	.	4	128.94	2	0	368.4	147.36	0.08	CCGT	.	5.21	1
nehuenco_2	2004	655.55	0	3219	Gas	0	0.026	6.42	0	0	0	quillota	25	.	4	229.4425	2	0	655.55	262.22	0.08	CCGT	.	5.21	1
san_isidro_1	1998	379.0	0	3231	Gas	0	0.026	7.13	0	0	0	quillota	25	.	4	132.65	2	0	379.0	151.6	0.08	CCGT	.	9.6	1
san_isidro_2	2008	643.4	0	3235	Gas	0	0.026	7.13	0	0	0	quillota	25	.	4	225.19	2	0	643.4	257.36	0.08	CCGT	.	9.6	1
RoR_quillota	1989	41.43	0	3185	Water	0	0.03	.	0	0	1	quillota	40	.	.	.	.	0	41.43	.	0.04	Hydro-RoR	.	3.383733168	0
TG_Diesel_quillota	2007	630.3	0	3164	Diesel	0	0.04	9.52	0	0	0	quillota	25	.	2	189.09	2	0	630.3	252.12	0.08	OCGT	.	5.14	1
PV_quillota	2016	106.64	0	.	Solar	18000	0.02	.	0	0	1	quillota	25	.	.	.	.	1200000	6.64	.	0.0	PV	.	0.0	0
loma_los_colorados	2011	20.2	0	.	Biogas	0	0.06	9.32	0	0	0	polpaico	20	.	1	0.0	1	0	20.2	20.2	0.05	BST	.	12.0	1
RoR_polpaico	2000	340.37	0	3183	Water	66000	0.03	.	0	0	1	polpaico	40	.	.	.	.	4100000	170.37	.	0.04	Hydro-RoR	.	3.488614921	0
PV_polpaico	2017	207.09	0	3198	Solar	18000	0.02	.	0	0	1	polpaico	25	.	.	.	.	1200000	107.09	.	0.0	PV	.	0.0	0
Biomass_alto_jahuel	2014	15.6	0	.	Biomass	0	0.045	13.5	0	0	0	alto_jahuel	30	.	1	0.0	1	0	15.6	15.6	0.01	BST	.	14.02659608	1
nueva_renca	1997	379.0	0	3220	Gas	0	0.026	7.13	0	0	0	alto_jahuel	25	.	4	132.65	2	0	379.0	151.6	0.08	CCGT	.	3.85	1
RoR_alto_jahuel	2011	1155.78	0	3174	Water	66000	0.03	.	0	0	1	alto_jahuel	40	.	.	.	.	4100000	575.78	.	0.04	Hydro-RoR	.	3.85568018	0
central_candelaria	2005	253.86	0	3289	Gas	0	0.04	10.53	0	0	0	alto_jahuel	25	.	2	76.158	2	0	253.86	101.544	0.08	OCGT	.	2.8	1
cmpc_cordillera	2016	24.0	0	.	Gas	0	0.04	10	0	0	0	alto_jahuel	25	.	2	7.2	2	0	24.0	9.6	0.08	OCGT	.	3.5	1
santa_marta	2015	17.73	0	.	Biogas	0	0.06	9.32	0	0	0	melipilla_rapel	20	.	1	0.0	1	0	17.73	17.73	0.05	BST	.	12.0	1
rapel	1968	376.6	0	3261	Water	0	0.051	.	0	0	0	melipilla_rapel	80	.	1	0.0	1	0	376.6	376.6	0.094	Hydro-Dam	.	3.578267933	1
PV_melipilla_rapel	2017	108.1	0	.	Solar	18000	0.02	.	0	0	1	melipilla_rapel	25	.	.	.	.	1200000	8.1	.	0.0	PV	.	0.0	0
Wind_melipilla_rapel	2014	67.95	0	3278	Wind	36000	0.02	.	0	0	1	melipilla_rapel	25	.	.	.	.	1800000	17.95	.	0.01	Wind	.	0.0	0
DE_itahue	2008	118.3	0	3155	Diesel	0	0.05	7.93	0	0	0	itahue	20	.	3	53.235	3	0	118.3	59.15	0.05	ICE	.	22.2	1
RoR_itahue	2015	872.71	0	3181	Water	66000	0.03	.	0	0	1	itahue	40	.	.	.	.	4100000	432.71	.	0.04	Hydro-RoR	.	3.992290176	0
PV_itahue	2017	128.43	0	.	Solar	18000	0.02	.	0	0	1	itahue	25	.	.	.	.	1200000	28.43	.	0.0	PV	.	0.0	0
Biomass_ancoa	2010	88.1	0	.	Biomass	0	0.045	13.5	0	0	0	ancoa	30	.	1	0.0	1	0	88.1	88.1	0.01	BST	.	13.79074711	1
