LOAD_ZONE	TIMEPOINT	zone_demand_mw
lagunas	720	461.226108979
lagunas	721	462.04140659
lagunas	722	441.236532326
lagunas	723	434.885237209
lagunas	724	441.225971476
lagunas	725	439.970286426
lagunas	726	443.629620909
lagunas	727	392.331348702
lagunas	728	379.047911723
lagunas	729	405.871414333
lagunas	730	432.513270325
lagunas	731	441.515338763
lagunas	732	442.363375009
lagunas	733	457.364006178
lagunas	734	484.305790307
lagunas	735	485.486493324
lagunas	736	471.473301618
lagunas	737	478.33996621
lagunas	738	469.992670465
lagunas	739	467.127511892
lagunas	740	498.12571846
lagunas	741	525.185784107
lagunas	742	518.275820031
lagunas	743	472.588527365
lagunas	2424	514.553120448
lagunas	2425	500.292804855
lagunas	2426	477.567968084
lagunas	2427	471.537722802
lagunas	2428	472.696248034
lagunas	2429	467.439056964
lagunas	2430	462.675057583
lagunas	2431	457.202425175
lagunas	2432	440.872183005
lagunas	2433	463.823021965
lagunas	2434	483.093404741
lagunas	2435	495.432701741
lagunas	2436	486.376772968
lagunas	2437	480.0571604
lagunas	2438	479.177441605
lagunas	2439	465.474738886
lagunas	2440	475.871895593
lagunas	2441	471.323337549
lagunas	2442	472.900072437
lagunas	2443	487.857404122
lagunas	2444	519.188277461
lagunas	2445	531.666977679
lagunas	2446	512.482137787
lagunas	2447	493.082912642
lagunas	3360	481.076282414
lagunas	3361	466.387196316
lagunas	3362	447.663865563
lagunas	3363	442.610498896
lagunas	3364	431.462465762
lagunas	3365	423.640044256
lagunas	3366	437.867621215
lagunas	3367	435.066883826
lagunas	3368	426.290817576
lagunas	3369	441.623059432
lagunas	3370	461.269408464
lagunas	3371	462.288530477
lagunas	3372	462.610636398
lagunas	3373	466.516038684
lagunas	3374	455.615129438
lagunas	3375	456.193864011
lagunas	3376	451.494285815
lagunas	3377	454.798775742
lagunas	3378	455.153620298
lagunas	3379	500.442768924
lagunas	3380	514.145471643
lagunas	3381	520.099678805
lagunas	3382	490.496560507
lagunas	3383	465.550777005
lagunas	5064	444.166112083
lagunas	5065	428.13579805
lagunas	5066	417.803062528
lagunas	5067	412.041062833
lagunas	5068	406.086855671
lagunas	5069	403.843731156
lagunas	5070	429.348183616
lagunas	5071	458.114882605
lagunas	5072	452.525024763
lagunas	5073	458.780216147
lagunas	5074	458.233164123
lagunas	5075	469.92824928
lagunas	5076	473.286599542
lagunas	5077	475.925755927
lagunas	5078	475.871895593
lagunas	5079	476.172879814
lagunas	5080	482.717438485
lagunas	5081	473.114457689
lagunas	5082	467.846705769
lagunas	5083	497.814173388
lagunas	5084	510.829364781
lagunas	5085	501.63403279
lagunas	5086	475.389264753
lagunas	5087	464.26235332
lagunas	6984	470.593582823
lagunas	6985	458.404249891
lagunas	6986	439.874182692
lagunas	6987	433.737272827
lagunas	6988	425.282256413
lagunas	6989	418.081868964
lagunas	6990	447.374498277
lagunas	6991	472.535723116
lagunas	6992	462.739478767
lagunas	6993	489.541859677
lagunas	6994	496.82779001
lagunas	6995	507.953645358
lagunas	6996	514.316557411
lagunas	6997	512.933086077
lagunas	6998	511.78406561
lagunas	6999	516.741328543
lagunas	7000	514.778066551
lagunas	7001	504.574173397
lagunas	7002	497.589227286
lagunas	7003	500.625471627
lagunas	7004	476.741053538
lagunas	7005	435.174604495
lagunas	7006	447.062953205
lagunas	7007	480.013860916
lagunas	7536	458.801337847
lagunas	7537	437.609936478
lagunas	7538	426.108114873
lagunas	7539	423.833307809
lagunas	7540	423.993832727
lagunas	7541	425.228396078
lagunas	7542	448.533023508
lagunas	7543	454.648811674
lagunas	7544	459.681056642
lagunas	7545	478.071720623
lagunas	7546	485.550914508
lagunas	7547	496.645087307
lagunas	7548	492.052173694
lagunas	7549	478.404387394
lagunas	7550	466.172811063
lagunas	7551	476.505546586
lagunas	7552	477.84677452
lagunas	7553	469.95993183
lagunas	7554	445.056391728
lagunas	7555	463.32877419
lagunas	7556	527.793257943
lagunas	7557	529.392170615
lagunas	7558	509.016066856
lagunas	7559	497.439263218
lagunas	35760	531.036871592
lagunas	35761	531.975571904
lagunas	35762	508.021690873
lagunas	35763	500.709069527
lagunas	35764	508.009531543
lagunas	35765	506.56378715
lagunas	35766	510.776995158
lagunas	35767	451.714263321
lagunas	35768	436.420257453
lagunas	35769	467.30374092
lagunas	35770	497.978083903
lagunas	35771	508.342697198
lagunas	35772	509.319091435
lagunas	35773	526.590204438
lagunas	35774	557.609872406
lagunas	35775	558.969285553
lagunas	35776	542.835069949
lagunas	35777	550.741066622
lagunas	35778	541.130331817
lagunas	35779	537.83150546
lagunas	35780	573.521572263
lagunas	35781	604.677424732
lagunas	35782	596.721574804
lagunas	35783	544.119095247
lagunas	37464	592.435410812
lagunas	37465	576.016666875
lagunas	37466	549.852219565
lagunas	37467	542.909241865
lagunas	37468	544.243120418
lagunas	37469	538.190205709
lagunas	37470	532.705131732
lagunas	37471	526.404166682
lagunas	37472	507.602193972
